ID,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
ASV1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV47,331,255,271,86,191,184,193,296,250,221,280,361,501,555,481,392,261,261,54,228,362,296,328,170
ASV1059,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV971,0,23,0,2,0,0,0,46,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,15
ASV218,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ASV1272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV206,3,7,4,6,18,6,6,1,0,4,2,0,6,2,0,0,0,0,4,0,0,0,0,0
ASV405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV422,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,4
ASV1018,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
ASV1071,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV180,7,1,2,1,5,0,0,0,0,4,0,1,7,13,13,81,13,12,5,11,12,6,11,8
ASV247,0,5,0,0,0,0,8,8,0,4,7,2,5,6,1,0,0,0,2,26,69,3,3,8
ASV795,13,4,5,10,5,6,2,0,0,0,0,7,0,0,0,2,5,2,0,6,3,0,0,0
ASV1262,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV1022,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV140,22,7,22,32,30,16,19,11,12,15,19,21,11,6,11,20,5,4,9,20,9,18,12,9
ASV928,3,6,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV359,0,0,0,0,0,4,0,2,0,7,0,0,3,0,3,0,0,0,0,0,2,4,0,0
ASV1266,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1207,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV109,63,64,75,26,68,110,170,270,128,109,132,94,128,384,270,104,96,109,14,52,89,47,41,17
ASV363,3,5,0,0,5,0,0,0,0,0,3,2,3,0,2,3,1,0,0,9,4,0,0,0
ASV1026,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0
ASV1020,4,7,0,0,0,0,0,0,0,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0
ASV290,2,6,0,0,5,0,0,5,5,5,7,5,7,7,6,6,7,5,0,8,6,4,4,7
ASV388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,55,0
ASV964,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV215,0,5,4,0,0,4,0,6,0,3,4,4,3,3,3,2,5,0,3,2,0,2,3,4
ASV940,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV942,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV387,0,8,7,0,0,0,0,0,0,0,7,0,4,9,4,0,0,0,0,0,0,0,8,0
ASV52,28,12,22,27,17,19,3,6,19,30,12,23,16,44,26,49,33,28,52,52,35,62,54,41
ASV225,2,5,5,3,5,0,3,2,0,0,3,4,0,0,0,1,0,2,3,1,1,6,2,0
ASV1008,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV407,0,0,0,3,6,0,2,0,2,6,2,0,0,2,2,9,8,7,0,2,1,6,2,3
ASV1045,0,2,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ASV1166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV955,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0
ASV445,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,7,29,0,0,0,3,16,7
ASV318,12,0,0,0,0,6,0,0,1,0,0,0,0,9,7,4,0,0,0,8,12,8,0,7
ASV332,3,4,0,0,0,0,5,9,0,0,0,0,6,2,7,4,0,1,0,0,0,0,0,0
ASV399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ASV1226,0,5,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0
ASV959,6,0,4,0,0,0,2,0,0,0,0,0,0,3,0,0,1,4,0,7,0,4,0,0
ASV1134,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV1046,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ASV1178,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV158,8,6,5,2,3,10,5,9,4,4,7,3,5,18,10,13,0,12,6,4,10,10,7,7
ASV1137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1077,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
ASV341,3,0,3,3,0,5,0,0,0,6,0,0,0,0,6,0,3,0,0,0,0,0,0,0
ASV802,8,6,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV104,12,18,10,11,16,16,0,12,6,22,12,20,11,10,5,16,1,11,17,14,16,7,19,11
ASV266,2,4,3,0,3,0,3,2,10,9,6,0,26,19,17,9,5,16,0,0,2,2,7,4
ASV82,15,25,27,0,36,31,19,53,39,49,20,63,36,33,33,51,40,40,25,27,52,38,37,44
ASV97,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,6,0,5,17,0,7,15,7,4
ASV94,26,64,6,12,17,15,26,10,34,9,18,15,47,29,23,23,21,20,19,35,32,36,40,30
ASV909,3,4,5,4,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV123,35,22,13,26,27,22,28,25,21,15,39,32,39,80,32,27,25,22,13,40,40,10,24,21
ASV576,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ASV310,11,2,5,7,5,0,0,5,4,0,0,8,0,11,3,4,2,0,0,2,3,3,2,0
ASV1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV257,0,0,0,0,0,26,38,0,0,0,27,0,56,95,39,44,27,0,0,27,53,38,31,0
ASV256,0,0,0,0,0,0,0,50,0,0,19,0,22,78,30,27,16,22,0,33,55,57,34,53
ASV1142,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
ASV962,0,0,0,0,1,1,3,0,0,0,0,0,3,7,0,0,1,0,0,0,2,0,0,0
ASV1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV171,3,1,3,0,3,0,0,0,3,8,0,3,0,8,4,3,0,0,6,4,0,2,4,5
ASV269,0,0,0,0,0,0,0,0,2,0,0,0,0,5,17,6,0,0,0,0,0,0,0,0
ASV465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,7,3,0
ASV1281,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
ASV1177,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1184,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1057,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,3,2,3,0,0
ASV120,14,20,16,4,11,13,12,21,9,6,10,20,13,24,24,15,13,14,12,8,11,7,18,12
ASV142,449,881,327,329,349,634,1697,875,634,155,327,196,181,135,58,97,186,118,9,33,65,63,32,33
ASV36,6,4,3,6,3,12,25,25,23,13,17,12,15,9,11,19,11,22,60,55,51,70,88,86
ASV149,0,0,0,0,0,0,0,10,0,0,0,11,0,6,3,4,0,4,7,6,4,0,0,0
ASV242,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,1,0,0,0,0
ASV1048,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
ASV272,29,22,31,25,34,14,14,51,64,52,50,37,9,19,18,20,16,9,0,2,0,0,0,2
ASV952,0,2,3,5,1,5,0,5,6,0,2,4,0,1,0,4,2,0,0,0,0,0,0,0
ASV216,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0
ASV1125,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV938,3,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
ASV39,0,0,0,0,0,0,7,3,5,2,7,17,61,46,19,19,28,42,62,10,9,3,10,12
ASV1228,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ASV166,3,0,0,8,17,3,0,0,4,0,0,0,0,5,0,0,0,1,8,1,0,0,0,0
ASV836,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,2,0,0,0,2
ASV65,8,10,4,4,7,2,0,0,3,0,1,0,18,0,4,6,77,33,30,0,9,3,8,10
ASV435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV1105,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV958,1,0,0,2,1,2,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0
ASV263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
ASV1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV1190,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV316,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,0,0,0,5,0,0,0,0
ASV40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,96,87,81,76,46
ASV1159,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
ASV130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,18,0,0,0
ASV932,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1136,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0
ASV35,367,537,393,908,448,521,1119,849,688,532,643,511,95,49,69,132,78,199,66,100,53,152,61,70
ASV450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ASV1185,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV957,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV222,1,0,5,0,3,0,0,2,3,2,5,2,5,3,5,2,3,4,1,7,4,6,2,5
ASV1236,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1225,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV934,0,0,13,7,6,0,8,0,10,4,0,7,0,4,0,3,6,6,0,8,0,3,0,0
ASV462,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,4,0
ASV337,0,1,1,0,0,0,0,2,4,1,0,2,0,10,5,5,0,0,0,18,0,13,0,0
ASV119,11,0,0,0,0,0,0,20,10,0,0,20,10,17,15,0,0,0,10,16,13,0,0,0
ASV1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV1027,0,0,2,0,0,0,0,3,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
ASV129,29,18,28,36,21,20,16,19,21,9,17,10,27,16,23,20,25,21,10,27,14,14,13,13
ASV1265,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ASV1003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ASV396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV243,2,0,0,4,3,0,2,0,0,0,0,6,2,2,4,5,1,5,1,7,5,2,7,4
ASV447,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0
ASV373,0,0,0,0,0,0,0,0,0,4,0,0,5,0,3,1,0,0,0,0,0,0,0,0
ASV1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV168,8,2,11,9,5,2,8,15,8,8,7,14,6,4,7,11,2,3,7,7,10,14,10,0
ASV185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15,5,4,0,6,5,0
ASV309,31,46,29,11,30,35,23,29,26,12,20,19,22,14,8,8,7,0,0,0,1,0,4,2
ASV620,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV1267,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV349,15,9,12,8,9,10,14,5,11,8,8,9,0,2,4,5,0,0,0,0,0,0,0,0
ASV488,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
ASV95,8,8,7,6,12,11,9,10,5,7,0,6,12,9,11,8,10,3,15,15,14,15,15,11
ASV64,73,82,42,26,30,51,51,82,53,77,59,134,92,87,108,73,61,74,34,53,99,44,64,52
ASV192,23,14,19,4,12,14,13,4,16,6,13,0,24,16,22,3,6,5,4,8,6,20,17,8
ASV118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,51,26,13,10,5,1,0,4
ASV108,37,47,42,33,39,40,25,30,30,26,31,38,13,14,16,8,8,18,14,21,17,7,15,19
ASV386,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0
ASV1167,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ASV1062,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV69,25,47,30,11,12,30,34,48,29,39,34,75,69,69,57,33,35,43,29,37,56,18,44,36
ASV113,0,0,0,0,0,0,0,0,0,0,0,13,54,16,15,8,12,16,14,0,15,0,20,0
ASV446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,8,5
ASV258,0,97,26,0,0,41,27,30,38,0,0,0,0,23,35,22,20,0,0,0,20,0,0,0
ASV124,13,19,11,0,5,8,10,13,12,15,12,10,17,18,22,6,9,9,12,10,11,0,0,11
ASV86,37,32,40,13,17,21,25,19,20,46,32,29,19,21,33,15,13,8,24,29,20,22,15,28
ASV989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0
ASV102,6,7,8,35,8,4,9,26,14,15,16,20,20,20,29,40,30,30,12,10,8,15,8,0
ASV1031,0,0,0,0,0,0,0,0,0,0,0,0,22,33,0,0,0,0,0,0,0,0,0,0
ASV376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV480,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2
ASV561,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV293,8,8,13,0,0,3,7,7,15,0,12,23,11,5,13,6,9,13,0,0,9,0,5,0
ASV472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ASV321,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,0,0,0,0,0,0,0,0
ASV7,8,9,11,8,8,13,104,47,64,48,78,70,40,40,43,141,592,942,463,406,588,390,480,196
ASV244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
ASV1144,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
ASV1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ASV289,10,11,8,9,8,4,10,9,9,8,3,18,11,11,10,21,7,0,0,0,4,7,8,14
ASV174,11,9,4,2,0,0,0,0,0,6,10,8,12,10,4,1,5,6,7,12,6,10,5,0
ASV679,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV141,6,4,5,0,2,3,14,7,7,1,23,13,10,10,5,7,2,2,10,16,20,12,16,4
ASV897,5,1,4,7,6,3,0,5,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0
ASV83,27,59,25,49,20,10,0,0,18,31,11,11,0,8,7,0,12,9,25,11,11,16,12,22
ASV103,0,0,0,2,0,5,12,0,6,6,5,11,9,3,0,2,0,6,12,5,2,4,0,10
ASV660,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ASV1043,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ASV60,17,7,16,23,19,10,12,19,13,20,15,12,32,53,45,33,30,22,38,46,41,32,27,33
ASV19,0,0,0,0,0,0,0,0,0,0,0,0,78,16,19,27,15,25,140,17,22,9,9,0
ASV229,2,4,5,3,0,0,3,5,0,3,0,5,0,8,5,2,0,0,2,2,3,0,5,0
ASV426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0
ASV423,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
ASV1052,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV1215,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV18,72,76,81,81,81,63,96,75,79,80,92,103,43,58,62,78,51,104,155,120,134,130,114,128
ASV392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ASV307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ASV182,4,6,0,5,0,0,0,0,0,3,0,0,8,0,19,0,0,0,6,7,0,8,10,4
ASV236,2,1,0,0,0,0,0,4,0,0,0,4,1,2,0,0,0,0,2,0,0,0,0,0
ASV424,3,5,2,0,1,2,3,0,0,0,0,4,2,0,2,3,0,2,0,0,0,0,2,0
ASV1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ASV1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV1078,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV1099,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV259,0,0,0,0,0,0,10,0,32,0,0,9,0,18,32,0,0,0,0,21,27,0,0,0
ASV111,8,27,16,8,21,17,14,26,12,25,20,20,19,40,27,13,8,25,14,18,8,8,12,13
ASV511,0,15,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1109,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1084,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV991,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0
ASV431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,10,17,18
ASV1087,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
ASV517,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0
ASV1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0
ASV547,1,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
ASV274,4,3,5,0,4,2,0,4,6,0,0,0,5,21,17,3,1,0,0,8,9,5,5,7
ASV1094,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV923,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
ASV49,67,107,59,48,46,40,68,64,74,53,63,95,214,156,141,117,70,96,55,117,144,166,230,173
ASV1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ASV1175,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1089,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV981,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,2,0,2
ASV999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
ASV127,18,24,31,7,19,25,13,17,11,16,12,17,17,14,16,8,10,17,10,8,20,11,14,9
ASV42,212,134,145,114,193,128,392,219,541,90,571,96,136,52,134,100,58,124,59,174,193,268,127,53
ASV56,40,115,58,38,51,99,51,128,93,70,104,207,111,112,94,62,30,62,38,55,61,35,62,47
ASV1231,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV456,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,2,5,0
ASV271,4,5,5,1,3,6,6,5,7,3,4,6,14,9,22,12,7,2,0,3,3,3,8,6
ASV270,0,1,0,0,0,0,1,0,0,0,0,0,1,3,20,3,0,1,0,0,3,0,6,0
ASV1174,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1160,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV402,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV237,37,33,41,64,48,39,44,27,32,23,16,10,0,4,3,4,6,8,2,5,0,0,4,0
ASV1148,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,4,0,0,0
ASV37,47,24,25,41,35,20,10,15,32,42,16,14,18,27,31,40,49,39,67,50,54,81,63,45
ASV239,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,2,2,1,0,0,0,0,0
ASV70,38,34,63,68,43,44,80,74,94,45,82,100,24,36,45,37,22,40,33,50,27,21,41,34
ASV1263,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV467,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
ASV1122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV538,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
